BKG_HTLSEQ,BKG_CITYCD,GMV,GR,GRASP,ATTRIBUTE_VALUE,GR_Bucket,IHM_Bucket,DND_Bucket,APPONLY_Bucket,INDIAIP_Bucket,SDND_Bucket,New_GR,New_IHM,New_APPONLY,New_INDIAIP,New_SDND
8501583363682836,HC200802201456512922,52693.41,6354.75,12.06,"INTL_METADND,INTL_ALL,Intl_no,INTL_AU_NZ,INTL_APPFESTALL,IH3STAR,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_SDNDND,INTL_GR_21,IHM5",['INTL_GR_21'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDNDHIGH']",INTL_GR_21,IHM5, , ,INTL_SDNDND
8501583363682850,HC200802201456538923,90995.82,16486.74,18.12,"INTL_METADND,INTL_ALL,INTL_DEAL2,INTL_EXPORC,INTL_6K_9K,IH2STAR,INTL_ACCO,INTL_HPA4,INTL_TRIP4,INTL_TVG4,0,INTL_SDNDND,INTL_GR_high4,IHM9",['INTL_GR_high'],[],[],[],[],"['INTL_SDNDND0', 'INTL_SDNDND']",INTL_GR_high4,IHM9, , ,INTL_SDNDND0
8501583363682858,HC200802201456538923,382462.94,32608.19,8.53,"INTL_METADND,INTL_ALL,INTL_GR_15,INTL_HPA1,INTL_TVG1,INTL_TRIP1,INTL_INDIAIP2,INTL_APPONLY2,INTL_DND,INTL_BDND,INTL_SDND2,INTL_EBLACK5,IHM3",['INTL_GR_8'],[],['INTL_DND'],['INTL_APPONLY2'],['INTL_INDIAIP2'],['INTL_SDND2'],INTL_GR_15,IHM3,INTL_APPONLY2,INTL_INDIAIP2,INTL_SDND2
8501583363682868,HC200802201456538923,14132.56,1072.5,7.59,"INTL_METADND,INTL_ALL,INTL_APPFESTUSEUROPE,INTL_DND,INTL_EXPORC,INTL_MARSTAR_DND,INTL_9KPlus,INTL_GR_12,INTL_SDND1,INTL_HPA1,INTL_TVG1,INTL_TRIP1,INTL_BDND,INTL_EBLACK4,IHM3,INTL_APPONLY,INTL_INDIAIP1",['INTL_GR_15'],[],['INTL_DND'],[],[],['INTL_SDND2'],INTL_GR_12,IHM3,INTL_APPONLY,INTL_INDIAIP1,INTL_SDND1
8501583363682872,HC200802201456538923,225659.73,31513.01,13.96,"INTL_METADND,INTL_ALL,INTL_APPFESTUSEUROPE,INTL_9KPlus,INTL_GR_high2,IH3STAR,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_SDNDND,IHM6",['INTL_GR_high'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDNDHIGH']",INTL_GR_high2,IHM6, , ,INTL_SDNDND
8501583363682886,HC200802201456538923,84437.4,6595.88,7.81,"INTL_METADND,INTL_ALL,INTL_DEAL2,INTL_6K_9K,IH3STAR,INTL_HPA3,INTL_TVG3,INTL_TRIP3,INTL_MMTF,INTL_GR_15,INTL_SDNDND,IHM3",['INTL_GR_high'],[],[],[],[],['INTL_SDNDND'],INTL_GR_15,IHM3, , ,INTL_SDNDND
8501583363682892,HC200802201456538923,37079.32,6348.5,17.12,"INTL_METADND,INTL_ALL,INTL_APPFESTUSEUROPE,INTL_EXPORC,INTL_9KPlus,INTL_GR_high4,IH4STAR,INTL_SDND15,INTL_HPA4,INTL_TVG4,INTL_TRIP4,IHM8",['INTL_GR_high'],[],[],[],[],['INTL_SDND15'],INTL_GR_high4,IHM8, , ,INTL_SDND15
8501583363682898,HC200802201456538923,55488.93,7530.85,13.57,"INTL_METADND,INTL_ALL,INTL_6K_9K,INTL_GR_high,IH4STAR,INTL_SDNDHIGH,IHM6",['INTL_GR_high'],[],[],[],[],['INTL_SDNDHIGH'],INTL_GR_high,IHM6, , ,INTL_SDNDHIGH
8501583363682900,HC200802201456538923,23949.29,3750.83,15.66,"INTL_METADND,INTL_ALL,INTL_DEAL2,INTL_9KPlus,IH4STAR,INTL_HPA4,INTL_TVG4,INTL_TRIP4,INTL_SDNDND,INTL_GR_high3,IHM8",['INTL_GR_high2'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDNDHIGH']",INTL_GR_high3,IHM8, , ,INTL_SDNDND
8501583363682904,HC200802201456538923,120470.59,6228.24,5.17,"INTL_METADND,INTL_ALL,INTL_RPC,INTL_9KPlus,INTL_RPC,IH4STAR,INTL_DND,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_INDIAIP0,INTL_APPONLY0,INTL_GR_6,INTL_BDND,INTL_SDND0,INTL_EBLACK5,IHM1",['INTL_GR_18'],[],['INTL_DND'],['INTL_APPONLY2'],['INTL_INDIAIP2'],['INTL_SDND2'],INTL_GR_6,IHM1,INTL_APPONLY0,INTL_INDIAIP0,INTL_SDND0
8501583363682910,HC200802201456538923,114612.96,18830.23,16.43,"INTL_METADND,INTL_ALL,MMT3000,HTL3000,INTL_MONSOONUSEUROPE2,INTL_9KPlus,IH4STAR,INTL_HPA5,INTL_TVG5,INTL_TRIP5,INTL_GR_high3,INTL_SDNDND,IHM8",['INTL_GR_high'],[],[],[],[],['INTL_SDNDND'],INTL_GR_high3,IHM8, , ,INTL_SDNDND
8501583363682928,HC200802201456538923,26897.09,4603.13,17.11,"INTL_METADND,INTL_ALL,INTL_APPFESTUSEUROPE,MMT3000,HTL3000,INTL_6K_9K,IH3STAR,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_SDNDND,INTL_GR_high4,IHM8",['INTL_GR_18'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDNDHIGH']",INTL_GR_high4,IHM8, , ,INTL_SDNDND
8501583363682930,HC200802201456538923,93307.08,9314.46,9.98,"INTL_METADND,INTL_ALL,INTL_DND,INTL_EXPORC,INTL_3K_6K,INTL_ACCOR,INTL_RPC,IH3STAR,INTL_HPA1,INTL_TVG1,INTL_TRIP1,INTL_INDIAIP3,INTL_APPONLY3,INTL_GR_18,INTL_BDND,INTL_SDND3,INTL_EBLACK7,IHM4",['INTL_GR_4'],[],['INTL_DND'],['INTL_APPONLY4'],['INTL_INDIAIP4'],['INTL_SDND4'],INTL_GR_18,IHM4,INTL_APPONLY3,INTL_INDIAIP3,INTL_SDND3
